restaurantRating,restaurantName,restaurantAddress,restaurantCuisine,restaurantContact,restaurantBusinessHours,restaurantPricing,isHalal
3.7,Restaurant Veloo Villas,"28, Lebuh Penang, George Town, 10200 George Town, Pulau Pinang",Indian ,019-445 4517,"{'Friday': '6:30 am to 9:30 pm', 'Saturday': '6:30 am to 9:30 pm', 'Sunday': '6:30 am to 9:30 pm', 'Monday': '6:30 am to 9:30 pm', 'Tuesday': '6:30 am to 9:30 pm', 'Wednesday': '6:30 am to 9:30 pm', 'Thursday': '6:30 am to 9:30 pm'}",1,Yes
4.4,Robataya Izakaya @ Queensbay Mall Japanese Restaurant,"2F-02, Queensbay Mall, 100, Persiaran Bayan Indah, Queens Bay, 14300 Bayan Lepas, Pulau Pinang",Japanese ,011-1174 0577,"{'Friday': '11:15 am to 10:30 pm', 'Saturday': '11:15 am to 10:30 pm', 'Sunday': '11:15 am to 10:30 pm', 'Monday': '11:15 am to 10:30 pm', 'Tuesday': '11:15 am to 10:30 pm', 'Wednesday': '11:15 am to 10:30 pm', 'Thursday': '11:15 am to 10:30 pm'}",2,No
4.3,Sushi Zento Bayan Lepas,"No. 1-1-13 & 13A (Ground Floor), SummerSkye Square, Jalan Sungai Tiram 8, 11900 Bayan Lepas, Penang",Japanese ,016-326 0788,"{'Friday': '11:30 am to 10 pm', 'Saturday': '11:30 am to 10 pm', 'Sunday': '11:30 am to 10 pm', 'Monday': '11:30 am to 2:15 pm, 6 to 9:45 pm', 'Tuesday': '11:30 am to 2:15 pm, 6 to 9:45 pm', 'Wednesday': '11:30 am to 2:15 pm, 6 to 9:45 pm', 'Thursday': '11:30 am to 2:15 pm, 6 to 9:45 pm'}",2,No
4.1,Michi Michi Penang Japanese Restaurant,"72-1-11, Arena Curve, Jalan Mahsuri, Arena Curve, 11950 Bayan Lepas, Pulau Pinang",Japanese ,011-1057 8129,"{'Friday': '11 am to 9 pm', 'Saturday': '11 am to 9 pm', 'Sunday': '11 am to 9 pm', 'Monday': '11 am to 3 pm, 5 to 9 pm', 'Tuesday': '11 am to 3 pm, 5 to 9 pm', 'Wednesday': '11 am to 3 pm, 5 to 9 pm', 'Thursday': '11 am to 3 pm, 5 to 9 pm'}",2,No
3.9,Aburi Sushi Gurney Plaza,"Plaza Gurney, 170-B-37/K21/K22, Persiaran Gurney, 10250 George Town, Pulau Pinang",Japanese ,010-378 8222,"{'Friday': '11 am to 9:45 pm', 'Saturday': '11 am to 9:45 pm', 'Sunday': '11 am to 9:45 pm', 'Monday': '11 am to 9:30 pm', 'Tuesday': '11 am to 9:30 pm', 'Wednesday': '11 am to 9:30 pm', 'Thursday': '11 am to 9:30 pm'}",2,No
3.8,Tsuruya,"15, Blok, E-GATE 1 - 1, 1, Lebuh Tunku Kudin 2, 11700 Gelugor, Pulau Pinang",Japanese ,04-656 1115,"{'Friday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Saturday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Sunday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Monday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Tuesday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Wednesday': '11:30 am to 2:30 pm, 6 to 10 pm', 'Thursday': '11:30 am to 2:30 pm, 6 to 10 pm'}",2,No
4.4,Sushi YA Jelutong,"349-01-09, Jalan Jelutong, Jelutong, 11600 Jelutong, Pulau Pinang",Japanese ,011-1062 3201,"{'Friday': '11:30 am to 9:30 pm', 'Saturday': '11:30 am to 9:30 pm', 'Sunday': '11:30 am to 9:30 pm', 'Monday': '11:30 am to 9:30 pm', 'Tuesday': '11:30 am to 9:30 pm', 'Wednesday': '11:30 am to 9:30 pm', 'Thursday': '11:30 am to 9:30 pm'}",2,Yes
4.5,Hanabi Udini Square,"Block 2, Udini Square, 01-23, Lebuh Tunku Kudin 3, 11700 George Town, Pulau Pinang",Japanese ,016-238 2368,"{'Friday': '11:30 am to 10 pm', 'Saturday': '11:30 am to 10 pm', 'Sunday': '11:30 am to 10 pm', 'Monday': '11:30 am to 10 pm', 'Tuesday': '11:30 am to 10 pm', 'Wednesday': '11:30 am to 10 pm', 'Thursday': '11:30 am to 10 pm'}",2,No
4.1,Harajuku,"29-1-26, The Golden Triangle, Jln Paya Terubung, Relau, 11900 Bayan Lepas, Pulau Pinang",Japanese ,018-233 6003,"{'Friday': '11 am to 10 pm', 'Saturday': '11 am to 10 pm', 'Sunday': '11 am to 10 pm', 'Monday': '11 am to 10 pm', 'Tuesday': '11 am to 10 pm', 'Wednesday': '11 am to 10 pm', 'Thursday': '11 am to 10 pm'}",2,No
4.2,KAZE Japanese Restaurant,"5-G-1,Promenade, Jalan Mahsuri, 11900 Bayan Baru, Pulau Pinang",Japanese ,04-611 8489,"{'Friday': '11 am to 2:30 pm, 6 to 10 pm', 'Saturday': '11 am to 2:30 pm, 5:30 to 10 pm', 'Sunday': '11 am to 2:30 pm, 5:30 to 10 pm', 'Monday': '11 am to 2:30 pm, 6 to 10 pm', 'Tuesday': '11 am to 2:30 pm, 6 to 10 pm', 'Wednesday': '11 am to 2:30 pm, 6 to 10 pm', 'Thursday': '11 am to 2:30 pm, 6 to 10 pm'}",3,No
